"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
2,36,112,"B086PTDN2M",false,15.99,"USD",0,0,0,29,3.8,"https://www.amazon.com/dp/B086PTDN2M","110.20",false,false,false,false,"Sponsored Ad - The Decoys: A Tim and Mary Ann Hall Mystery (3)","https://m.media-amazon.com/images/I/6155pO323eL._AC_UL320_.jpg"
2,37,113,"B093Q53XLB",false,0,"USD",0,0,0,28585,4.1,"https://www.amazon.com/dp/B093Q53XLB","117198.50",false,false,false,false,"Quicksilver","https://m.media-amazon.com/images/I/91Tb1mbf4UL._AC_UL320_.jpg"
2,38,114,"B01DQ3S33S",true,1.99,"USD",16,14.01,87.56,528,4.2,"https://www.amazon.com/dp/B01DQ3S33S","2217.60",false,false,false,false,"Dark Fissures: A Rick Cahill Novel (The Rick Cahill Series Book 3)","https://m.media-amazon.com/images/I/71e33+UmZQL._AC_UL320_.jpg"
2,39,115,"B09PZYLBX3",false,9.29,"USD",0,0,0,29,4.7,"https://www.amazon.com/dp/B09PZYLBX3","136.30",false,false,false,false,"WEIMEILD Library Bookstore Decor Life is Better with Cats and Books, Vintage Retro Metal Tin Sign Pub Bar Man Cave Club De...","https://m.media-amazon.com/images/I/81WfxaPCYzL._AC_UL320_.jpg"
2,40,116,"B0B7GYN6CZ",false,0,"USD",0,0,0,6,5,"https://www.amazon.com/dp/B0B7GYN6CZ","30.00",false,false,false,false,"Christmas Always Finds Its Way","https://m.media-amazon.com/images/I/71zRHAXHDrL._AC_UL320_.jpg"
2,41,117,"0062671138",true,14.99,"USD",18,3.01,16.72,6299,4.3,"https://www.amazon.com/dp/0062671138","27085.70",false,false,false,false,"The Sentence: A Novel","https://m.media-amazon.com/images/I/81iPpdXB5HL._AC_UL320_.jpg"
2,42,118,"B09BK98V63",false,0,"USD",0,0,0,1374,4.5,"https://www.amazon.com/dp/B09BK98V63","6183.00",false,false,false,false,"A Margin for Murder: A Charming Bookish Cozy Mystery (A Beyond the Page Bookstore Mystery Book 8)","https://m.media-amazon.com/images/I/81TvmGQte5L._AC_UL320_.jpg"
2,43,119,"1638583838",true,11,"USD",12.99,1.99,15.32,6,4.8,"https://www.amazon.com/dp/1638583838","28.80",false,false,false,false,"The Haunted Bookstore - Gateway to a Parallel Universe (Manga) Vol. 2","https://m.media-amazon.com/images/I/71Nqwm+AVaL._AC_UL320_.jpg"
2,44,120,"B076X98Q6X",false,1.99,"USD",0,0,0,955,4.5,"https://www.amazon.com/dp/B076X98Q6X","4297.50",false,false,true,false,"100 Eternal Masterpieces of Literature [volume 1] (100 Books You Must Read Before You Die)","https://m.media-amazon.com/images/I/91sZFb2i9cL._AC_UL320_.jpg"
2,45,121,"B085LTXWNT",false,0,"USD",0,0,0,2080,4.6,"https://www.amazon.com/dp/B085LTXWNT","9568.00",false,false,false,false,"A Page Marked for Murder (A Beyond the Page Bookstore Mystery Book 5)","https://m.media-amazon.com/images/I/81v-RlYLiFL._AC_UL320_.jpg"
2,46,122,"006289434X",false,17.99,"USD",0,0,0,62,4.9,"https://www.amazon.com/dp/006289434X","303.80",false,false,false,false,"The Bookstore Cat","https://m.media-amazon.com/images/I/81fO0ci9wEL._AC_UL320_.jpg"
2,47,123,"B07T8QHXFF",false,0,"USD",0,0,0,1479,3.8,"https://www.amazon.com/dp/B07T8QHXFF","5620.20",false,false,false,false,"The Cold Storm: A Special Ops action-thriller (Roger O'Neil Book 1)","https://m.media-amazon.com/images/I/917G8BubYuL._AC_UL320_.jpg"
2,48,124,"B09JC98HNV",true,54.99,"USD",69.99,15,21.43,148,4.5,"https://www.amazon.com/dp/B09JC98HNV","666.00",false,false,false,false,"aboxoo Metal Kids Bookshelf Freestanding Bookcase for Children Room 32 in Toy Organizer Large Modern MinimalistWhite Stabl...","https://m.media-amazon.com/images/I/71uH+fHD4OL._AC_UL320_.jpg"
2,49,125,"164827661X",false,14.99,"USD",0,0,0,14,4.9,"https://www.amazon.com/dp/164827661X","68.60",false,false,false,false,"The Haunted Bookstore - Gateway to a Parallel Universe (Light Novel) Vol. 2","https://m.media-amazon.com/images/I/81TQRYURKkL._AC_UL320_.jpg"
2,50,126,"B09FFGG6YS",true,2.99,"USD",16.99,14,82.4,5321,4.4,"https://www.amazon.com/dp/B09FFGG6YS","23412.40",false,false,true,false,"The Boardwalk Bookshop: A 2022 Beach Read","https://m.media-amazon.com/images/I/81H4n2XNFKL._AC_UL320_.jpg"
2,51,127,"B09N6PZ9TJ",true,14.99,"USD",29.95,14.96,49.95,5074,4.6,"https://www.amazon.com/dp/B09N6PZ9TJ","23340.40",false,false,false,false,"Clive Cussler's Hellburner (The Oregon Files Book 16)","https://m.media-amazon.com/images/I/91QQd4UBy3L._AC_UL320_.jpg"
2,52,128,"B08WCFQVR8",true,10.99,"USD",20,9.01,45.05,33021,4.3,"https://www.amazon.com/dp/B08WCFQVR8","141990.30",false,false,false,false,"Never: A Novel","https://m.media-amazon.com/images/I/91OlkNx-VpL._AC_UL320_.jpg"
2,53,129,"0847863662",true,26.99,"USD",29.95,2.96,9.88,76,4.7,"https://www.amazon.com/dp/0847863662","357.20",false,false,false,false,"A Booklover's Guide to New York","https://m.media-amazon.com/images/I/A14hhu1YDqL._AC_UL320_.jpg"
2,54,130,"3899559940",true,44.49,"USD",60,15.51,25.85,59,4.7,"https://www.amazon.com/dp/3899559940","277.30",false,false,false,false,"Do you read me?: Bookstores Around the World","https://m.media-amazon.com/images/I/71qndtDy1jL._AC_UL320_.jpg"
2,55,131,"1496727134",false,8.99,"USD",0,0,0,1984,4.5,"https://www.amazon.com/dp/1496727134","8928.00",false,false,false,false,"Under the Cover of Murder (A Beyond the Page Bookstore Mystery)","https://m.media-amazon.com/images/I/91AwLPX0q6L._AC_UL320_.jpg"
2,56,132,"B01N9NDYSU",false,0,"USD",0,0,0,126,4.4,"https://www.amazon.com/dp/B01N9NDYSU","554.40",false,false,false,false,"Death by Eggnog (A Bookstore Cafe Mystery Book 5)","https://m.media-amazon.com/images/I/91tsabziRPL._AC_UL320_.jpg"
2,57,133,"0735367086",false,16.99,"USD",0,0,0,299,4.7,"https://www.amazon.com/dp/0735367086","1405.30",false,false,false,false,"Michael Storrings A Day at The Bookstore 1000 Piece Puzzle from Galison - Beautifully Illustrated Jigsaw Puzzle of a Local...","https://m.media-amazon.com/images/I/71chCjegGxL._AC_UL320_.jpg"
2,58,134,"B08VFC7P41",false,0,"USD",0,0,0,127,4.6,"https://www.amazon.com/dp/B08VFC7P41","584.20",false,false,false,false,"Death by Hot Apple Cider (A Bookstore Cafe Mystery Book 9)","https://m.media-amazon.com/images/I/91zTX3D9p1L._AC_UL320_.jpg"
